,Time:512Hz,Epoch,Electrode,Event Id
1024,179.0,2864,38.0,0.0
1025,179.001953125,2864,38.0,0.0
1026,179.00390625,2864,38.0,0.0
1027,179.005859375,2864,38.0,0.0
1028,179.0078125,2864,38.0,0.0
1029,179.009765625,2864,38.0,0.0
1030,179.01171875,2864,38.0,0.0
1031,179.013671875,2864,38.0,0.0
1032,179.015625,2864,38.0,0.0
1033,179.017578125,2864,38.0,0.0
1034,179.01953125,2864,38.0,0.0
1035,179.021484375,2864,38.0,0.0
1036,179.0234375,2864,38.0,0.0
1037,179.025390625,2864,38.0,0.0
1038,179.02734375,2864,38.0,0.0
1039,179.029296875,2864,38.0,0.0
1040,179.03125,2864,38.0,0.0
1041,179.033203125,2864,38.0,0.0
1042,179.03515625,2864,38.0,0.0
1043,179.037109375,2864,38.0,0.0
1044,179.0390625,2864,38.0,0.0
1045,179.041015625,2864,38.0,0.0
1046,179.04296875,2864,38.0,0.0
1047,179.044921875,2864,38.0,0.0
1048,179.046875,2864,38.0,0.0
1049,179.048828125,2864,38.0,0.0
1050,179.05078125,2864,38.0,0.0
1051,179.052734375,2864,38.0,0.0
1052,179.0546875,2864,38.0,0.0
1053,179.056640625,2864,38.0,0.0
1054,179.05859375,2864,38.0,0.0
1055,179.060546875,2864,38.0,0.0
1056,179.0625,2865,38.0,0.0
1057,179.064453125,2865,38.0,0.0
1058,179.06640625,2865,38.0,0.0
1059,179.068359375,2865,38.0,0.0
1060,179.0703125,2865,38.0,0.0
1061,179.072265625,2865,38.0,0.0
1062,179.07421875,2865,38.0,0.0
1063,179.076171875,2865,38.0,0.0
1064,179.078125,2865,38.0,0.0
1065,179.080078125,2865,38.0,0.0
1066,179.08203125,2865,38.0,0.0
1067,179.083984375,2865,38.0,0.0
1068,179.0859375,2865,38.0,0.0
1069,179.087890625,2865,38.0,0.0
1070,179.08984375,2865,38.0,0.0
1071,179.091796875,2865,38.0,0.0
1072,179.09375,2865,38.0,0.0
1073,179.095703125,2865,38.0,0.0
1074,179.09765625,2865,38.0,0.0
1075,179.099609375,2865,38.0,0.0
1076,179.1015625,2865,37.0,0.0
1077,179.103515625,2865,37.0,0.0
1078,179.10546875,2865,38.0,0.0
1079,179.107421875,2865,38.0,0.0
1080,179.109375,2865,38.0,0.0
1081,179.111328125,2865,38.0,0.0
1082,179.11328125,2865,38.0,0.0
1083,179.115234375,2865,38.0,0.0
1084,179.1171875,2865,38.0,0.0
1085,179.119140625,2865,38.0,0.0
1086,179.12109375,2865,38.0,0.0
1087,179.123046875,2865,38.0,0.0
1088,179.125,2866,38.0,0.0
1089,179.126953125,2866,38.0,0.0
1090,179.12890625,2866,38.0,0.0
1091,179.130859375,2866,37.0,0.0
1092,179.1328125,2866,38.0,0.0
1093,179.134765625,2866,38.0,0.0
1094,179.13671875,2866,38.0,0.0
1095,179.138671875,2866,38.0,0.0
1096,179.140625,2866,38.0,0.0
1097,179.142578125,2866,38.0,0.0
1098,179.14453125,2866,38.0,0.0
1099,179.146484375,2866,37.0,0.0
1100,179.1484375,2866,38.0,0.0
1101,179.150390625,2866,38.0,0.0
1102,179.15234375,2866,38.0,0.0
1103,179.154296875,2866,38.0,0.0
1104,179.15625,2866,38.0,0.0
1105,179.158203125,2866,38.0,0.0
