Time:512Hz,Epoch,Electrode,Event Id,Event Date,Event Duration
0.0000000000,0,-125.0000000000,,,
0.0019531250,0,-135.0000000000,,,
0.0039062500,0,-121.0000000000,,,
0.0058593750,0,-92.0000000000,,,
0.0078125000,0,-118.0000000000,,,
0.0097656250,0,-179.0000000000,,,
0.0117187500,0,-190.0000000000,,,
0.0136718750,0,-145.0000000000,,,
0.0156250000,0,-131.0000000000,,,
0.0175781250,0,-154.0000000000,,,
0.0195312500,0,-163.0000000000,,,
0.0214843750,0,-130.0000000000,,,
0.0234375000,0,-86.0000000000,,,
0.0253906250,0,-71.0000000000,,,
0.0273437500,0,-84.0000000000,,,
0.0292968750,0,-90.0000000000,,,
0.0312500000,0,-101.0000000000,,,
0.0332031250,0,-102.0000000000,,,
0.0351562500,0,-90.0000000000,,,
0.0371093750,0,-99.0000000000,,,
0.0390625000,0,-114.0000000000,,,
0.0410156250,0,-122.0000000000,,,
0.0429687500,0,-118.0000000000,,,
0.0449218750,0,-84.0000000000,,,
0.0468750000,0,-55.0000000000,,,
0.0488281250,0,-61.0000000000,,,
0.0507812500,0,-74.0000000000,,,
0.0527343750,0,-123.0000000000,,,
0.0546875000,0,-157.0000000000,,,
0.0566406250,0,-140.0000000000,,,
0.0585937500,0,-91.0000000000,,,
0.0605468750,0,-68.0000000000,,,
0.0625000000,1,-56.0000000000,,,
0.0644531250,1,-25.0000000000,,,
0.0664062500,1,-2.0000000000,,,
0.0683593750,1,21.0000000000,,,
0.0703125000,1,36.0000000000,,,
0.0722656250,1,32.0000000000,,,
0.0742187500,1,12.0000000000,,,
0.0761718750,1,-6.0000000000,,,
0.0781250000,1,-10.0000000000,,,
0.0800781250,1,25.0000000000,,,
0.0820312500,1,84.0000000000,,,
0.0839843750,1,114.0000000000,,,
0.0859375000,1,122.0000000000,,,
0.0878906250,1,128.0000000000,,,
0.0898437500,1,130.0000000000,,,
0.0917968750,1,150.0000000000,,,
0.0937500000,1,180.0000000000,,,
0.0957031250,1,184.0000000000,,,
0.0976562500,1,155.0000000000,,,
0.0996093750,1,146.0000000000,,,
0.1015625000,1,153.0000000000,,,
0.1035156250,1,169.0000000000,,,
0.1054687500,1,187.0000000000,,,
0.1074218750,1,184.0000000000,,,
0.1093750000,1,160.0000000000,,,
0.1113281250,1,132.0000000000,,,
0.1132812500,1,92.0000000000,,,
0.1152343750,1,83.0000000000,,,
0.1171875000,1,86.0000000000,,,
0.1191406250,1,82.0000000000,,,
0.1210937500,1,84.0000000000,,,
0.1230468750,1,108.0000000000,,,
0.1250000000,2,121.0000000000,,,
0.1269531250,2,81.0000000000,,,
0.1289062500,2,48.0000000000,,,
0.1308593750,2,35.0000000000,,,
0.1328125000,2,27.0000000000,,,
0.1347656250,2,65.0000000000,,,
0.1367187500,2,87.0000000000,,,
0.1386718750,2,106.0000000000,,,
0.1406250000,2,91.0000000000,,,
0.1425781250,2,44.0000000000,,,
0.1445312500,2,34.0000000000,,,
0.1464843750,2,36.0000000000,,,
0.1484375000,2,11.0000000000,,,
0.1503906250,2,7.0000000000,,,
0.1523437500,2,16.0000000000,,,
0.1542968750,2,-1.0000000000,,,
0.1562500000,2,7.0000000000,,,
0.1582031250,2,64.0000000000,,,
0.1601562500,2,100.0000000000,,,
0.1621093750,2,65.0000000000,,,
0.1640625000,2,25.0000000000,,,
0.1660156250,2,70.0000000000,,,
0.1679687500,2,122.0000000000,,,
0.1699218750,2,112.0000000000,,,
0.1718750000,2,66.0000000000,,,
0.1738281250,2,32.0000000000,,,
0.1757812500,2,59.0000000000,,,
0.1777343750,2,93.0000000000,,,
0.1796875000,2,102.0000000000,,,
0.1816406250,2,67.0000000000,,,
0.1835937500,2,0.0000000000,,,
0.1855468750,2,-58.0000000000,,,
0.1875000000,3,-98.0000000000,,,
0.1894531250,3,-118.0000000000,,,
0.1914062500,3,-72.0000000000,,,
0.1933593750,3,54.0000000000,,,
0.1953125000,3,176.0000000000,,,
0.1972656250,3,182.0000000000,,,
0.1992187500,3,116.0000000000,,,
0.2011718750,3,67.0000000000,,,
0.2031250000,3,96.0000000000,,,
0.2050781250,3,164.0000000000,,,
0.2070312500,3,226.0000000000,,,
0.2089843750,3,221.0000000000,,,
0.2109375000,3,148.0000000000,,,
0.2128906250,3,112.0000000000,,,
0.2148437500,3,132.0000000000,,,
0.2167968750,3,161.0000000000,,,
0.2187500000,3,179.0000000000,,,
0.2207031250,3,150.0000000000,,,
0.2226562500,3,128.0000000000,,,
0.2246093750,3,90.0000000000,,,
0.2265625000,3,53.0000000000,,,
0.2285156250,3,35.0000000000,,,
0.2304687500,3,55.0000000000,,,
0.2324218750,3,122.0000000000,,,
0.2343750000,3,178.0000000000,,,
0.2363281250,3,194.0000000000,,,
0.2382812500,3,209.0000000000,,,
0.2402343750,3,198.0000000000,,,
0.2421875000,3,144.0000000000,,,
0.2441406250,3,91.0000000000,,,
0.2460937500,3,80.0000000000,,,
0.2480468750,3,77.0000000000,,,
0.2500000000,4,51.0000000000,,,
0.2519531250,4,25.0000000000,,,
0.2539062500,4,25.0000000000,,,
0.2558593750,4,42.0000000000,,,
0.2578125000,4,59.0000000000,,,
0.2597656250,4,55.0000000000,,,
0.2617187500,4,21.0000000000,,,
0.2636718750,4,-8.0000000000,,,
0.2656250000,4,-10.0000000000,,,
0.2675781250,4,12.0000000000,,,
0.2695312500,4,52.0000000000,,,
0.2714843750,4,76.0000000000,,,
0.2734375000,4,108.0000000000,,,
0.2753906250,4,100.0000000000,,,
0.2773437500,4,28.0000000000,,,
0.2792968750,4,8.0000000000,,,
0.2812500000,4,21.0000000000,,,
0.2832031250,4,38.0000000000,,,
0.2851562500,4,32.0000000000,,,
0.2871093750,4,9.0000000000,,,
0.2890625000,4,2.0000000000,,,
0.2910156250,4,-2.0000000000,,,
0.2929687500,4,-11.0000000000,,,
0.2949218750,4,-6.0000000000,,,
0.2968750000,4,24.0000000000,,,
0.2988281250,4,53.0000000000,,,
0.3007812500,4,68.0000000000,,,
0.3027343750,4,57.0000000000,,,
0.3046875000,4,60.0000000000,,,
0.3066406250,4,84.0000000000,,,
0.3085937500,4,87.0000000000,,,
0.3105468750,4,86.0000000000,,,
0.3125000000,5,108.0000000000,,,
0.3144531250,5,147.0000000000,,,
0.3164062500,5,121.0000000000,,,
0.3183593750,5,70.0000000000,,,
0.3203125000,5,71.0000000000,,,
0.3222656250,5,91.0000000000,,,
0.3242187500,5,103.0000000000,,,
0.3261718750,5,108.0000000000,,,
0.3281250000,5,109.0000000000,,,
0.3300781250,5,112.0000000000,,,
0.3320312500,5,122.0000000000,,,
0.3339843750,5,141.0000000000,,,
0.3359375000,5,152.0000000000,,,
0.3378906250,5,137.0000000000,,,
0.3398437500,5,128.0000000000,,,
0.3417968750,5,134.0000000000,,,
0.3437500000,5,145.0000000000,,,
0.3457031250,5,153.0000000000,,,
0.3476562500,5,156.0000000000,,,
0.3496093750,5,152.0000000000,,,
0.3515625000,5,154.0000000000,,,
0.3535156250,5,152.0000000000,,,
0.3554687500,5,138.0000000000,,,
0.3574218750,5,116.0000000000,,,
0.3593750000,5,97.0000000000,,,
0.3613281250,5,86.0000000000,,,
0.3632812500,5,60.0000000000,,,
0.3652343750,5,28.0000000000,,,
0.3671875000,5,27.0000000000,,,
0.3691406250,5,81.0000000000,,,
0.3710937500,5,133.0000000000,,,
0.3730468750,5,134.0000000000,,,
0.3750000000,6,116.0000000000,,,
0.3769531250,6,128.0000000000,,,
0.3789062500,6,160.0000000000,,,
0.3808593750,6,168.0000000000,,,
0.3828125000,6,132.0000000000,,,
0.3847656250,6,81.0000000000,,,
0.3867187500,6,83.0000000000,,,
0.3886718750,6,103.0000000000,,,
0.3906250000,6,91.0000000000,,,
0.3925781250,6,56.0000000000,,,
0.3945312500,6,52.0000000000,,,
0.3964843750,6,108.0000000000,,,
0.3984375000,6,165.0000000000,,,
0.4003906250,6,177.0000000000,,,
0.4023437500,6,161.0000000000,,,
0.4042968750,6,145.0000000000,,,
0.4062500000,6,117.0000000000,,,
0.4082031250,6,84.0000000000,,,
0.4101562500,6,84.0000000000,,,
0.4121093750,6,104.0000000000,,,
0.4140625000,6,120.0000000000,,,
0.4160156250,6,102.0000000000,,,
0.4179687500,6,55.0000000000,,,
0.4199218750,6,28.0000000000,,,
0.4218750000,6,70.0000000000,,,
0.4238281250,6,152.0000000000,,,
0.4257812500,6,179.0000000000,,,
0.4277343750,6,148.0000000000,,,
0.4296875000,6,108.0000000000,,,
0.4316406250,6,76.0000000000,,,
0.4335937500,6,57.0000000000,,,
0.4355468750,6,66.0000000000,,,
0.4375000000,7,89.0000000000,,,
0.4394531250,7,100.0000000000,,,
0.4414062500,7,81.0000000000,,,
0.4433593750,7,38.0000000000,,,
0.4453125000,7,20.0000000000,,,
0.4472656250,7,61.0000000000,,,
0.4492187500,7,117.0000000000,,,
0.4511718750,7,145.0000000000,,,
0.4531250000,7,149.0000000000,,,
0.4550781250,7,146.0000000000,,,
0.4570312500,7,122.0000000000,,,
0.4589843750,7,119.0000000000,,,
0.4609375000,7,148.0000000000,,,
0.4628906250,7,144.0000000000,,,
0.4648437500,7,102.0000000000,,,
0.4667968750,7,65.0000000000,,,
0.4687500000,7,66.0000000000,,,
0.4707031250,7,109.0000000000,,,
0.4726562500,7,139.0000000000,,,
0.4746093750,7,135.0000000000,,,
0.4765625000,7,131.0000000000,,,
0.4785156250,7,135.0000000000,,,
0.4804687500,7,132.0000000000,,,
0.4824218750,7,85.0000000000,,,
0.4843750000,7,21.0000000000,,,
0.4863281250,7,2.0000000000,,,
0.4882812500,7,3.0000000000,,,
0.4902343750,7,7.0000000000,,,
0.4921875000,7,-8.0000000000,,,
0.4941406250,7,-13.0000000000,,,
0.4960937500,7,0.0000000000,,,
0.4980468750,7,5.0000000000,,,
0.5000000000,8,-40.0000000000,,,
0.5019531250,8,-92.0000000000,,,
